"date","region","cases","cumulative_cases"
2020-06-16,"North",0,112
2020-06-16,"Not Assigned",0,2
2020-06-16,"Regina",0,80
2020-06-16,"Saskatoon",1,182
2020-06-16,"South (excluding Regina)",0,19
2020-06-17,"Central (excluding Saskatoon)",0,12
2020-06-17,"Far North",7,284
2020-06-17,"North",0,112
2020-06-17,"Not Assigned",0,2
2020-06-17,"Regina",0,80
2020-06-17,"Saskatoon",2,184
2020-06-17,"South (excluding Regina)",0,19
2020-06-18,"Central (excluding Saskatoon)",0,12
2020-06-18,"Far North",1,285
2020-06-18,"North",0,112
2020-06-18,"Not Assigned",0,2
2020-06-18,"Regina",0,80
2020-06-18,"Saskatoon",0,184
2020-06-18,"South (excluding Regina)",14,33
2020-06-19,"Central (excluding Saskatoon)",0,12
2020-06-19,"Far North",7,292
2020-06-19,"North",0,112
2020-06-19,"Not Assigned",0,2
2020-06-19,"Regina",0,80
2020-06-19,"Saskatoon",1,185
2020-06-19,"South (excluding Regina)",0,33
2020-06-20,"Central (excluding Saskatoon)",0,12
2020-06-20,"Far North",7,299
2020-06-20,"North",0,113
2020-06-20,"Not Assigned",0,2
2020-06-20,"Regina",0,80
2020-06-20,"Saskatoon",1,185
2020-06-20,"South (excluding Regina)",2,35
2020-06-21,"Central (excluding Saskatoon)",0,12
2020-06-21,"Far North",2,301
2020-06-21,"North",0,113
2020-06-21,"Not Assigned",0,2
2020-06-21,"Regina",0,80
2020-06-21,"Saskatoon",0,185
2020-06-21,"South (excluding Regina)",18,53
2020-06-22,"Central (excluding Saskatoon)",0,12
2020-06-22,"Far North",4,305
2020-06-22,"North",0,113
2020-06-22,"Not Assigned",0,2
2020-06-22,"Regina",0,80
2020-06-22,"Saskatoon",1,186
2020-06-22,"South (excluding Regina)",0,53
2020-06-23,"Central (excluding Saskatoon)",0,12
2020-06-23,"Far North",10,312
2020-06-23,"North",0,111
2020-06-23,"Not Assigned",-2,0
2020-06-23,"Regina",0,80
2020-06-23,"Saskatoon",1,185
2020-06-23,"South (excluding Regina)",0,53
2020-06-24,"Central (excluding Saskatoon)",0,12
2020-06-24,"Far North",2,314
2020-06-24,"North",1,112
2020-06-24,"Not Assigned",0,0
2020-06-24,"Regina",0,80
2020-06-24,"Saskatoon",0,185
2020-06-24,"South (excluding Regina)",1,54
2020-06-25,"Central (excluding Saskatoon)",0,12
2020-06-25,"Far North",2,316
2020-06-25,"North",0,112
2020-06-25,"Not Assigned",0,0
2020-06-25,"Regina",0,80
2020-06-25,"Saskatoon",1,186
2020-06-25,"South (excluding Regina)",0,53
2020-06-26,"Central (excluding Saskatoon)",0,12
2020-06-26,"Far North",1,317
2020-06-26,"North",2,114
2020-06-26,"Not Assigned",0,0
2020-06-26,"Regina",0,80
2020-06-26,"Saskatoon",0,186
2020-06-26,"South (excluding Regina)",10,63
2020-06-27,"Central (excluding Saskatoon)",0,12
2020-06-27,"Far North",6,322
2020-06-27,"North",0,114
2020-06-27,"Not Assigned",0,0
2020-06-27,"Regina",0,80
2020-06-27,"Saskatoon",0,186
2020-06-27,"South (excluding Regina)",0,63
2020-06-28,"Central (excluding Saskatoon)",0,12
2020-06-28,"Far North",1,323
2020-06-28,"North",0,114
2020-06-28,"Not Assigned",0,0
2020-06-28,"Regina",0,80
2020-06-28,"Saskatoon",0,186
2020-06-28,"South (excluding Regina)",0,63
2020-06-29,"Central (excluding Saskatoon)",0,12
2020-06-29,"Far North",1,324
2020-06-29,"North",0,114
2020-06-29,"Not Assigned",0,0
2020-06-29,"Regina",0,80
2020-06-29,"Saskatoon",0,186
2020-06-29,"South (excluding Regina)",0,63
2020-06-30,"Central (excluding Saskatoon)",0,12
2020-06-30,"Far North",3,327
2020-06-30,"North",2,116
2020-06-30,"Not Assigned",0,0
2020-06-30,"Regina",0,80
2020-06-30,"Saskatoon",0,186
2020-06-30,"South (excluding Regina)",1,64
2020-07-01,"Central (excluding Saskatoon)",0,12
2020-07-01,"Far North",3,330
2020-07-01,"North",1,117
